代码,名称,全称,上一级代码
66111699,不详乡镇,建设兵团农一师6团不详乡镇,66111600
66111700,7团,建设兵团农一师7团,66110000
66111701,一连,建设兵团农一师7团一连,66111700
66111702,二连,建设兵团农一师7团二连,66111700
66111703,三连,建设兵团农一师7团三连,66111700
66111704,四连,建设兵团农一师7团四连,66111700
66111705,五连,建设兵团农一师7团五连,66111700
66111706,六连,建设兵团农一师7团六连,66111700
66111707,七连,建设兵团农一师7团七连,66111700
66111708,八连,建设兵团农一师7团八连,66111700
66111709,九连,建设兵团农一师7团九连,66111700
66111710,十连,建设兵团农一师7团十连,66111700
66111711,十一连,建设兵团农一师7团十一连,66111700
66111712,十二连,建设兵团农一师7团十二连,66111700
66111713,十三连,建设兵团农一师7团十三连,66111700
66111715,直属单位,建设兵团农一师7团直属单位,66111700
66111720,一中,建设兵团农一师7团一中,66111700
66111721,水磨村,建设兵团农一师7团水磨村,66111700
66111722,中心幼儿园,建设兵团农一师7团中心幼儿园,66111700
66111723,十四连,建设兵团农一师7团十四连,66111700
66111724,十五连,建设兵团农一师7团十五连,66111700
66111725,科技连,建设兵团农一师7团科技连,66111700
66111799,不详乡镇,建设兵团农一师7团不详乡镇,66111700
